T/B1,B2/Nsur1,Nsur2,Nsur3,Nsur4,Nsur5,Nsur6,Nsub1,Nsub2,Nsub3,Eads,Adsorbate
Co,Co,Cu,Ni,Cu,Fe,Co,Fe,Cu,Fe,-0.715446355,COOH
Co,Cu,Ni,Cu,Fe,Co,Co,Fe,Cu,Fe,-0.566159745,COOH
Co,Fe,Co,Mo,Fe,Co,Ni,Mo,Co,Fe,-0.777585285,COOH
Co,Co,Mo,Fe,Co,Ni,Fe,Mo,Co,Fe,-0.833640575,COOH
Co,Mo,Fe,Co,Ni,Fe,Co,Mo,Co,Fe,-1.189716985,COOH
Co,Co,Ni,Fe,Co,Mo,Fe,Mo,Co,Fe,-0.872410445,COOH
Co,Ni,Fe,Co,Mo,Fe,Co,Mo,Co,Fe,-0.822532175,COOH
Fe,Mo,Cu,Fe,Co,Co,Co,Cu,Fe,Fe,-1.240137115,COOH
Fe,Fe,Co,Co,Co,Mo,Cu,Cu,Fe,Fe,-0.834801365,COOH
Fe,Co,Co,Co,Mo,Cu,Fe,Cu,Fe,Fe,-0.756100775,COOH
Fe,Co,Co,Mo,Cu,Fe,Co,Cu,Fe,Fe,-0.686843875,COOH
Fe,Fe,Cu,Cu,Fe,Ni,Co,Mo,Fe,Fe,-0.709995475,COOH
Fe,Fe,Ni,Co,Fe,Cu,Cu,Mo,Fe,Fe,-0.664624815,COOH
Fe,Ni,Co,Fe,Cu,Cu,Fe,Mo,Fe,Fe,-0.564466255,COOH
Fe,Co,Fe,Cu,Cu,Fe,Ni,Mo,Fe,Fe,-0.667806415,COOH
Fe,Fe,Cu,Co,Co,Ni,Ni,Co,Fe,Co,-0.692340635,COOH
Fe,Co,Co,Ni,Ni,Fe,Cu,Co,Fe,Co,-0.594118735,COOH
Fe,Co,Ni,Ni,Fe,Cu,Co,Co,Fe,Co,-0.520084565,COOH
Fe,Ni,Ni,Fe,Cu,Co,Co,Co,Fe,Co,-0.462137975,COOH
Fe,Ni,Fe,Cu,Co,Co,Ni,Co,Fe,Co,-0.463587075,COOH
Co,Ni,Fe,Mo,Co,Fe,Cu,Co,Ni,Co,-0.769755415,COOH
Co,Mo,Co,Fe,Cu,Ni,Fe,Co,Ni,Co,-1.247282615,COOH
Co,Fe,Cu,Ni,Fe,Mo,Co,Co,Ni,Co,-0.945728635,COOH
Mo,Co,Fe,Co,Cu,Fe,Co,Fe,Co,Mo,-0.622601545,COOH
Mo,Fe,Co,Cu,Fe,Co,Co,Fe,Co,Mo,-0.819441895,COOH
Mo,Co,Cu,Fe,Co,Co,Fe,Fe,Co,Mo,-0.839365405,COOH
Mo,Cu,Fe,Co,Co,Fe,Co,Fe,Co,Mo,-0.632571495,COOH
Mo,Fe,Co,Co,Fe,Co,Cu,Fe,Co,Mo,-0.781956345,COOH
Mo,Co,Co,Fe,Co,Cu,Fe,Fe,Co,Mo,-0.667502525,COOH
Cu,Mo,Co,Cu,Cu,Fe,Fe,Fe,Mo,Fe,-0.848230285,COOH
Cu,Cu,Cu,Fe,Fe,Mo,Co,Fe,Mo,Fe,-0.036368105,COOH
Cu,Fe,Fe,Mo,Co,Cu,Cu,Fe,Mo,Fe,-0.451194545,COOH
Cu,Cu,Ni,Co,Fe,Fe,Cu,Fe,Fe,Ni,0.017108745,COOH
Cu,Fe,Fe,Cu,Cu,Ni,Co,Fe,Fe,Ni,-0.368599555,COOH
